glyph_id,recording,broadcast,cycle,track,ordinal,frame,time_s,source,provisional,hamming_distance,confidence,assignment_basis,verification_status,observed_fingerprint
15,E6C2-1N,E6C2-1N,E6C2,Main,14,779,25.9812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001000110000100000000000100110000000101000000000000000000000000000010000000001
16,E6C2-1N,E6C2-1N,E6C2,Main,15,786,26.2146,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000001000000101000000011000100000000000100000000000000010010100000000000000010
17,E6C2-1N,E6C2-1N,E6C2,Main,16,791,26.3812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000110000000000000000100001001000010000000100000100000000000000010000000000
18,E6C2-1N,E6C2-1N,E6C2,Main,17,797,26.5812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000100000000010000110000000001000000001001000000000100000000001000100
19,E6C2-1N,E6C2-1N,E6C2,Main,18,803,26.7812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001001000000000000000000010000000000000000000000000001100000000101000000000101000
20,E6C2-1N,E6C2-1N,E6C2,Main,19,809,26.9812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001000000000000000000000100000000000000000000011000010000010000000000000000000
21,E6C2-1N,E6C2-1N,E6C2,Main,20,815,27.1812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000000110000000110000000000000000000100000100000000000000000100000010000000100
22,E6C2-1N,E6C2-1N,E6C2,Main,21,821,27.3812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000010000000000000010001000000000000100000110000000001000000000000100
23,E6C2-1N,E6C2-1N,E6C2,Main,22,827,27.5812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000001000001000000010000100001001001000000000000000000001001000000000000000
24,E6C2-1N,E6C2-1N,E6C2,Main,23,833,27.7812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000001000000000000100000000000000000000000000000000000000010000000001
25,E6C2-1N,E6C2-1N,E6C2,Main,24,839,27.9812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000000000000000100000010000010000000011000000000001000000001001000000001100100
26,E6C2-1N,E6C2-1N,E6C2,Main,25,845,28.1812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000011000000000000000000000000000001100000000000000000000010101000001000000000
27,E6C2-1N,E6C2-1N,E6C2,Main,26,851,28.3812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,101000000100000000010000000000000000000100100000000000110010010010000000001000000
28,E6C2-1N,E6C2-1N,E6C2,Main,27,857,28.5812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000100000000001100100000000000000000000000100000001000000000010000000
29,E6C2-1N,E6C2-1N,E6C2,Main,28,863,28.7812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010000100100000000000000000000000000001000000000000000000010000001000000000000000
30,E6C2-1N,E6C2-1N,E6C2,Main,29,869,28.9812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001000000000100010000000000100000000100000000000000000000000001000000001001010
1,E6C2-N,E6C2-N,E6C2,Main,1,880,29.3219,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000100110100000101000010000000100000000100000000000000100000000001000010001000010
2,E6C2-N,E6C2-N,E6C2,Main,2,886,29.5218,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010000000010000100000000010000000000000010100000000000010000000000000000010000001
3,E6C2-N,E6C2-N,E6C2,Main,3,892,29.7218,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000000010000010000000000000100000100101001010000000011000000000000001
4,E6C2-N,E6C2-N,E6C2,Main,4,896,29.8551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001001000000010000000000000010000000000000000000000010010000001000001000100000
5,E6C2-N,E6C2-N,E6C2,Main,5,899,29.9551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100001000000000000000000000000000000000010000000000000010000000000000000000000000
6,E6C2-N,E6C2-N,E6C2,Main,6,905,30.1551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000011000000000000000000000000000000100100001000010000000001000000010000000
7,E6C2-N,E6C2-N,E6C2,Main,7,911,30.3551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000001011000000100000000000000000000000000000000001010000000010000000000001000
8,E6C2-N,E6C2-N,E6C2,Main,8,917,30.5551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001001101000000100010001000000001000001000000000000000000000000000000000000001
9,E6C2-N,E6C2-N,E6C2,Main,9,923,30.7551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000010000000001000000000000000000000000000000000000000000000010000000001001000
10,E6C2-N,E6C2-N,E6C2,Main,10,929,30.9551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000000010000010000000000000000000100000000000010001000000101001000000
11,E6C2-N,E6C2-N,E6C2,Main,11,935,31.1551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100001000000000000000010000000000000000000000100010001000000000000000010100101000
12,E6C2-N,E6C2-N,E6C2,Main,12,941,31.3551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010000001001000001000000010000000000000000000000000000000000001001000000000000010
13,E6C2-N,E6C2-N,E6C2,Main,13,947,31.5551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000000010000100010000001000010001000000000000000001000000010100000001100001101
14,E6C2-N,E6C2-N,E6C2,Main,14,953,31.7551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100000010000000000000000000000000000001010100000001000000000010100000001000001000
15,E6C2-N,E6C2-N,E6C2,Main,15,959,31.9551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001000110000100000000000100110000000101000000000000000000000000000010000000001
16,E6C2-N,E6C2-N,E6C2,Main,16,965,32.1551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000001000000101000000011000100000000000100000000000000010010100000000000000010
17,E6C2-N,E6C2-N,E6C2,Main,17,971,32.3551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000110000000000000000100001001000010000000100000100000000000000010000000000
18,E6C2-N,E6C2-N,E6C2,Main,18,977,32.5551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000100000000010000110000000001000000001001000000000100000000001000100
19,E6C2-N,E6C2-N,E6C2,Main,19,986,32.8551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001001000000000000000000010000000000000000000000000001100000000101000000000101000
20,E6C2-N,E6C2-N,E6C2,Main,20,989,32.9551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001000000000000000000000100000000000000000000011000010000010000000000000000000
21,E6C2-N,E6C2-N,E6C2,Main,21,995,33.1551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000000110000000110000000000000000000100000100000000000000000100000010000000100
22,E6C2-N,E6C2-N,E6C2,Main,22,1001,33.3551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000010000000000000010001000000000000100000110000000001000000000000100
23,E6C2-N,E6C2-N,E6C2,Main,23,1007,33.5551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000001000001000000010000100001001001000000000000000000001001000000000000000
24,E6C2-N,E6C2-N,E6C2,Main,24,1013,33.7551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000001000000000000100000000000000000000000000000000000000010000000001
25,E6C2-N,E6C2-N,E6C2,Main,25,1019,33.9551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000000000000000100000010000010000000011000000000001000000001001000000001100100
26,E6C2-N,E6C2-N,E6C2,Main,26,1026,34.1884,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000011000000000000000000000000000001100000000000000000000010101000001000000000
27,E6C2-N,E6C2-N,E6C2,Main,27,1031,34.3551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,101000000100000000010000000000000000000100100000000000110010010010000000001000000
28,E6C2-N,E6C2-N,E6C2,Main,28,1037,34.5551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000100000000001100100000000000000000000000100000001000000000010000000
29,E6C2-N,E6C2-N,E6C2,Main,29,1043,34.7551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010000100100000000000000000000000000001000000000000000000010000001000000000000000
30,E6C2-N,E6C2-N,E6C2,Main,30,1049,34.9551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001000000000100010000000000100000000100000000000000000000000001000000001001010
31,E6C2-N,E6C2-N,E6C2,Main,31,1055,35.1551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000000000000010000011001000000000000000000000000000000000001001000000
32,E6C2-N,E6C2-N,E6C2,Main,32,1061,35.3551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100000000001000000000000010000000000000001000000010000010000000001000100011000101
33,E6C2-N,E6C2-N,E6C2,Main,33,1067,35.5551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001001010010000100010000001000100001000000000000010000000000000101000000001000000
34,E6C2-N,E6C2-N,E6C2,Main,34,1073,35.7551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000100000110000010001000010000001100000000001000000000000010000000001000110
35,E6C2-N,E6C2-N,E6C2,Main,35,1079,35.9551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010000000010000010010010010000011000000000100000000000010000000000000000000000000
36,E6C2-N,E6C2-N,E6C2,Main,36,1085,36.1551,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010000010100000100000000000000000000000000000000001000000010001100000000000000100
68,E6C3-18,E6C3-18,E6C3,Sparse,1,642,21.4031,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,000001011001000010010000000100001001000000000000000001100000000001000010100000100
