recording,ordinal,frame,source_video,source_sha256,method,review_status,overlay_enabled,reference_geometry_status,reference_frame,reference_geometry_provenance,operational_consensus,operational_status,proposal_selected,consensus_disagreement_cells,minimum_temporal_step_inliers,minimum_temporal_step_inlier_ratio
E6C2-1K,16,310,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.043,437,0.5366
E6C2-1K,17,317,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0474,437,0.4984
E6C2-1K,18,323,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0569,437,0.5366
E6C2-1K,19,329,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0682,437,0.5366
E6C2-1K,20,335,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: insufficient independent diamond support,,0.0786,437,0.5366
E6C2-1K,21,342,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: insufficient independent diamond support,,0.0506,437,0.5366
E6C2-1K,22,347,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: insufficient independent diamond support,,0.0941,437,0.5366
E6C2-1K,23,354,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: insufficient independent diamond support,,0.0718,437,0.5366
E6C2-1K,24,359,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: insufficient independent diamond support,,0.0565,437,0.5366
E6C2-1K,25,365,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: insufficient independent diamond support,,0.0513,437,0.5366
E6C2-1K,26,372,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: insufficient independent diamond support,,0.0781,437,0.5366
E6C2-1K,27,376,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: insufficient independent diamond support,,0.0734,437,0.5366
E6C2-1K,28,382,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: insufficient independent diamond support,,0.082,437,0.5366
E6C2-1K,29,389,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: carrier temporal chain unavailable,,0.0627,437,0.5366
E6C2-1K,30,396,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: carrier temporal chain unavailable,,0.0231,437,0.5366
