recording,ordinal,frame,source_video,source_sha256,method,review_status,overlay_enabled,corpus_fingerprint,detected_fingerprint,hamming_to_corpus,detector_separation,comparison,center_x,center_y,pitch_x,pitch_y,fit_score_x,fit_score_y
E6C2-11,30,790,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000000000000010000011001000000000000000000000000000000000001001000000,000000000000000000000000011000011001000000000000000000000010001000000101001000100,5,0.0831,disagreement,236.0,273.0,34.0,34.5,33.3721,34.5808
E6C2-11,31,795,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,100000000001000000000000010000000000000001000000010000010000000001000100011000101,000000000000000000000000011000011001000000000000000000000010001000000101001000100,15,0.0841,disagreement,236.0,273.0,34.0,34.5,33.4898,34.6848
E6C2-11,32,801,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,001001010010000100010000001000100001000000000000010000000000000101000000001000000,001001010010000100010000001000100001000000000000010000000010001001000101001000100,6,0.102,disagreement,236.0,273.0,34.0,34.5,31.5302,32.0702
E6C2-1K,1,226,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000000000000000000001000000010000000100001000000010001000000000000000,111101111111000111110010011100000001000000000100000001110000001111000001111101111,40,0.3829,disagreement,218.0,212.0,29.5,29.5,13.7944,14.4933
E6C2-1K,2,227,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000101000001000000010000000100000000000000100100000000000000000000000001000000001,111101111111000111100010011100000001000000000100000001100000001100000011100000001,24,0.327,disagreement,245.0,215.0,23.5,23.5,13.3319,14.2479
E6C2-1K,3,238,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,100000000000000001000000000000000000000001000100000000000000000010000000000001011,000000000001000010000000000000000000000001000100000000000000000010000000000001010,5,0.2435,disagreement,244.0,242.0,20.5,19.5,13.244,14.2038
E6C2-1K,4,244,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000101000010000010010000001000000000001010000100000000000000000000000010000100001,100000100101000001100000000100000000000111100100000000100000000101000011100000001,23,0.2366,disagreement,220.0,240.0,20.5,20.5,16.0115,16.435
E6C2-1K,5,250,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000000101000010000000000100010000000000000000000001100000000000000000000100010,100000000101000010100000000100010000000010000100000000010000000000000010100101111,12,0.1673,disagreement,239.0,245.0,23.5,23.5,16.7367,18.4271
E6C2-1K,6,251,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,100101000000000001100000011000100000001100000000010000000000011000000010000000011,100101000000000000110000011100111000000110000100010000000000011000000010100101111,12,0.1667,disagreement,239.0,245.0,23.5,23.5,17.909,17.5012
E6C2-1K,7,262,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,010001000110000000000000000000000000000000000000011000000000000010000000000000010,000001100010000000000000000000000000000011000000111001000010000010000000000000000,9,0.1502,disagreement,239.0,239.0,23.5,23.5,18.6402,20.5777
E6C2-1K,8,264,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,010000000000000100010000000100011001001001000000100000000000001000000000001000011,000000000000000100010000000100011001001001000000100000000000001000000000000000000,4,0.1861,disagreement,241.0,242.0,25.0,25.0,17.1079,17.5119
E6C2-1K,9,270,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000101100000110000000000000000000000100000000100001000000011000000000000000010,000000101100000110000000000000000000000100000000100001000000011000000000001000000,2,0.2215,near support,244.0,240.0,26.5,26.5,19.8475,22.48
E6C2-1K,10,275,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000001000011000010000000010100000000001100000000000000000010000000000001000000001,110100010101000001110000000100000000000111000100000000110000000100000000110000000,24,0.2009,disagreement,204.0,242.0,23.5,29.5,19.1237,21.4635
E6C2-1K,11,281,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,011000000000000000000010000000101000001010000000000000000000001010000000000000000,001000000000000000000010000000101000001010000000000000000000001010000000000000000,1,0.2866,near support,245.0,242.0,29.5,29.5,19.226,28.3225
E6C2-1K,12,287,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,001000000000000000100000011000101000000000000000000000100000000100000101000100000,001000000000000000100000011000101000000000000000000000100000000000000101000100000,1,0.184,near support,242.0,242.0,29.5,29.5,23.004,28.9458
E6C2-1K,13,293,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000001100000010000000000100010000000000000000000000000000000000000000000000000,000000011000000001000000011000010001000000000000000001000000011000000001000000001,13,0.228,disagreement,298.0,242.0,23.5,29.5,21.4673,25.1167
E6C2-1K,14,299,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000000001000000010000000000000000000100000000000000000000000001000000000001000,000000000001000000010000010000000000000100000000000000000000000101000010000001000,3,0.1596,disagreement,244.0,238.0,32.5,33.0,21.7256,24.0202
E6C2-1K,15,305,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,100000100001000000000000000000010000001000000000001000000000000100000000010100001,101101100001000000100000000100010000001000000100001000000000000000000000000100000,9,0.1169,disagreement,239.0,238.0,35.5,34.0,22.046,23.2879
E6C2-1K,16,310,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,001000000001000000100000010100000000000000000000000000100000000001000000000000000,001000000001000000110010011100111001000111000000110001100000000001000000000000000,13,0.0721,disagreement,239.0,245.0,35.5,35.5,28.4085,26.489
E6C2-1K,17,317,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000001000010000000000000010000100000001000000000100000010000000000000010001000111,001000110001000010100000011000000000000011000000111000000000000111000010000000000,23,0.1427,disagreement,219.0,218.0,29.5,29.5,26.3798,26.2181
E6C2-1K,18,323,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000000000000001100010000000000000000000000000000000000000000011000100,000000000100000001100000001000110000000000000000011001000000000000000000010000100,9,0.147,disagreement,254.0,237.0,29.5,38.0,25.2198,26.6598
E6C2-1K,19,329,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,000000100000000001100000001000000000000100000000000000100000000010000000001000000,000000000000000000000000000000100000001101000000101000000000000000000001100000000,14,0.1997,disagreement,245.0,247.0,23.5,29.5,26.5708,25.6223
E6C2-1K,20,335,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,independent-grid-line-plus-ring-read-v1,pending,False,010000000101000000000000000000001000000010000000000001000000000001000010000000000,000000001000000000000000011100100001000000000100000001000000011010000111000001101,21,0.2335,disagreement,329.0,237.0,20.5,40.5,22.8417,25.2544
